,paper_doi,conf_seriesId,conf_acronym,conf_name,conf_city,conf_country,author_order,author_givenName,author_familyName,org_gridId,org_name,org_city,org_country,org_countrycode,affiliationString,paper_title,book_doi,book_title,book_confSubtitle,rights,year
1145886,10.1007/978-3-642-41242-4_30,esws,ESWC,Extended Semantic Web Conference,Montpellier,France,2,Andrea Giovanni,Nuzzolese,grid.6292.f,University of Bologna,Bologna,Italy,IT,University of Bologna,Identifying Functions of Citations with CiTalO,10.1007/978-3-642-41242-4,The Semantic Web: ESWC 2013 Satellite Events,"ESWC 2013, Satellite Events, Montpellier, France, May 26-30, 2013, Revised Selected Papers",Restricted,2013-01-01
1145888,10.1007/978-3-642-41242-4_30,esws,ESWC,Extended Semantic Web Conference,Montpellier,France,3,Silvio,Peroni,grid.6292.f,University of Bologna,Bologna,Italy,IT,University of Bologna,Identifying Functions of Citations with CiTalO,10.1007/978-3-642-41242-4,The Semantic Web: ESWC 2013 Satellite Events,"ESWC 2013, Satellite Events, Montpellier, France, May 26-30, 2013, Revised Selected Papers",Restricted,2013-01-01
1146075,10.1007/978-3-642-41242-4_6,esws,ESWC,Extended Semantic Web Conference,Montpellier,France,1,Angelo,Iorio,grid.6292.f,University of Bologna,Bologna,Italy,IT,University of Bologna,Characterising Citations in Scholarly Documents: The CiTalO Framework,10.1007/978-3-642-41242-4,The Semantic Web: ESWC 2013 Satellite Events,"ESWC 2013, Satellite Events, Montpellier, France, May 26-30, 2013, Revised Selected Papers",Restricted,2013-01-01
1146076,10.1007/978-3-642-41242-4_6,esws,ESWC,Extended Semantic Web Conference,Montpellier,France,2,Andrea Giovanni,Nuzzolese,grid.6292.f,University of Bologna,Bologna,Italy,IT,University of Bologna,Characterising Citations in Scholarly Documents: The CiTalO Framework,10.1007/978-3-642-41242-4,The Semantic Web: ESWC 2013 Satellite Events,"ESWC 2013, Satellite Events, Montpellier, France, May 26-30, 2013, Revised Selected Papers",Restricted,2013-01-01
1146078,10.1007/978-3-642-41242-4_6,esws,ESWC,Extended Semantic Web Conference,Montpellier,France,3,Silvio,Peroni,grid.6292.f,University of Bologna,Bologna,Italy,IT,University of Bologna,Characterising Citations in Scholarly Documents: The CiTalO Framework,10.1007/978-3-642-41242-4,The Semantic Web: ESWC 2013 Satellite Events,"ESWC 2013, Satellite Events, Montpellier, France, May 26-30, 2013, Revised Selected Papers",Restricted,2013-01-01
1173201,10.1007/978-3-319-25639-9_35,esws,ESWC,International Semantic Web Conference,Portoro?,Slovenia,1,Silvio,Peroni,grid.6292.f,University of Bologna,Bologna,Italy,IT,University of Bologna,Templating the Semantic Web via RSLT,10.1007/978-3-319-25639-9,The Semantic Web: ESWC 2015 Satellite Events,"ESWC 2015 Satellite Events, Portoro?, Slovenia, May 31 ? June 4, 2015, Revised Selected Papers",Restricted,2015-01-01
1173203,10.1007/978-3-319-25639-9_35,esws,ESWC,International Semantic Web Conference,Portoro?,Slovenia,2,Fabio,Vitali,grid.6292.f,University of Bologna,Bologna,Italy,IT,University of Bologna,Templating the Semantic Web via RSLT,10.1007/978-3-319-25639-9,The Semantic Web: ESWC 2015 Satellite Events,"ESWC 2015 Satellite Events, Portoro?, Slovenia, May 31 ? June 4, 2015, Revised Selected Papers",Restricted,2015-01-01
305897,10.1007/978-3-319-58451-5_20,esws,ESWC,European Semantic Web Conference,Portoroz,Slovenia,1,Harsh,Thakkar,grid.10388.32,University of Bonn,Bonn,Germany,DE,University of Bonn,Towards an Open Extensible Framework for Empirical Benchmarking of Data Management Solutions: LITMUS,10.1007/978-3-319-58451-5,The Semantic Web,"14th International Conference, ESWC 2017, Portoro?, Slovenia, May 28 ? June 1, 2017, Proceedings, Part II",Restricted,2017-01-01
335666,10.1007/978-3-319-47602-5_36,esws,ESWC,International Semantic Web Conference,Heraklion,Greece,6,Christoph,Lange,grid.10388.32,University of Bonn,Bonn,Germany,DE,University of Bonn,Qanary – The Fast Track to Creating a Question Answering System with Linked Data Technology,10.1007/978-3-319-47602-5,The Semantic Web,"ESWC 2016 Satellite Events, Heraklion, Crete, Greece, May 29 ? June 2,  2016, Revised Selected Papers",Restricted,2016-01-01
335796,10.1007/978-3-319-47602-5_45,esws,ESWC,International Semantic Web Conference,Heraklion,Greece,2,Harsh,Thakkar,grid.10388.32,University of Bonn,Bonn,Germany,DE,University of Bonn,Assessing Trust with PageRank in the Web of Data,10.1007/978-3-319-47602-5,The Semantic Web,"ESWC 2016 Satellite Events, Heraklion, Crete, Greece, May 29 ? June 2,  2016, Revised Selected Papers",Restricted,2016-01-01
516287,10.1007/978-3-319-58068-5_7,esws,ESWC,European Semantic Web Conference,Portoroz,Slovenia,3,Jens,Lehmann,grid.10388.32,University of Bonn,Bonn,Germany,DE,University of Bonn,Wombat – A Generalization Approach for Automatic Link Discovery,10.1007/978-3-319-58068-5,The Semantic Web,"14th International Conference, ESWC 2017, Portoro?, Slovenia, May 28 ? June 1, 2017, Proceedings, Part I",Restricted,2017-01-01
